,codici-identificativi.isil,denominazioni.ufficiale,ente,indirizzo.coordinate,indirizzo.via-piazza,tipologia-amministrativa,tipologia-funzionale,accesso.portatori-handicap,accesso.riservato
5650,IT-FI0333,Biblioteca dell'Istituto universitario olandese di storia dell'arte,Interuniversitair Kunsthistorisch Instituut te Florence,"[43.7551619, 11.2499656]",Viale Torricelli 5,Universita' non statali,Istituto di insegnamento superiore,,False
5651,IT-FI0334,Biblioteca Villa Bandini,Comune di Firenze,"[43.755905, 11.289829]",Via di Ripoli 118 - via del Paradiso 5,Comune,Pubblica,,False
5652,IT-FI0335,Biblioteca del Centro di documentazione  monastica,Cistercensi di Casamari. Centro di documentazione monastica della Certosa del Galluzzo,"[43.7294527, 11.2222299]",Via della Buca di Certosa 2,Enti ecclesiastici,Specializzata,,False
5653,IT-FI0336,Biblioteca del Collegio teologico dei Carmelitani scalzi,Carmelitani scalzi. Collegio teologico di Firenze,"[43.7459294, 11.2532453]",Via S. Matteo in Arcetri 18,Enti ecclesiastici,Specializzata,,True
5654,IT-FI0337,Biblioteca del Convento di S. Paolino,Carmelitani scalzi. Convento S. Paolino di Firenze,"[43.772428, 11.2473899]",Via S. Paolino 8,Enti ecclesiastici,Specializzata,,True
5655,IT-FI0338,Biblioteca del Convento del Carmine,Carmelitani.  Convento del Carmine di Firenze,"[43.768334, 11.2438587]",Piazza del Carmine 14,Enti ecclesiastici,Specializzata,,True
5656,IT-FI0339,Biblioteca Dino Pieraccioni,Comune di Firenze,"[43.7845318, 11.2859247]",Via Nicolodi 2,Comune,Pubblica,True,False
5657,IT-FI0340,Biblioteca dell'Istituto di ricerca sulle onde elettromagnetiche. IROE del CNR,Consiglio nazionale delle ricerche - CNR,"[43.8021567, 11.230792]",Via Panciatichi 64,Aziende ed amministrazioni dello stato ad ordinamento autonomo,Specializzata,,True
5658,IT-FI0341,Biblioteca del Convento di S. Romolo,Frati minori OFM. Convento S. Romolo di Figline Valdarno,"[43.6136874, 11.4691996]",Via S. Romolo 109,Enti ecclesiastici,Specializzata,,True
5659,IT-FI0342,Biblioteca Umanistica - Storia dell'arte - Università degli studi di Firenze,Università degli studi di Firenze,"[43.7751699, 11.2630548]",Via della Pergola 56,Universita' statali,Istituto di insegnamento superiore,,False
5660,IT-FI0343,Biblioteca del Convento del Bosco ai Frati,Frati minori OFM. Convento S. Bonaventura di San Piero a Sieve,"[43.9864879, 11.3037522]",Convento Bosco ai Frati,Enti ecclesiastici,Pubblica,,True
5661,IT-FI0346,Biblioteca della Scuola - città Pestalozzi,"Ministero dell'istruzione, dell'università e della ricerca","[43.7671083, 11.2649923]",Via delle Casine 1,Presidenza del consiglio dei ministri e ministeri,Scolastica,,True
5662,IT-FI0347,Biblioteca di scienze. Mineralogia dell'Università degli studi di Firenze,Università degli studi di Firenze,"[43.7782839, 11.2597306]",Via G. La Pira 4,Universita' statali,NON SPECIFICATA,,
5663,IT-FI0348,Biblioteca biomedica del Dipartimento di medicina interna dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di medicina interna,"[43.8000174, 11.244246]",Viale G.B. Morgagni 85,Universita' statali,Istituto di insegnamento superiore,,
5664,IT-FI0349,Biblioteca del Centro studi e documentazione Assi Giglio Rosso,Centro studi e documentazione Assi Giglio Rosso,"[43.75805, 11.27142]",Viale Michelangelo 66,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
5665,IT-FI0350,Biblioteca del Comitato regionale toscano del CONI,Comitato olimpico nazionale italiano,"[43.7849716, 11.2582014]",Viale G. Milton 99,Aziende ed amministrazioni dello stato ad ordinamento autonomo,Specializzata,,False
5666,IT-FI0352,Biblioteca dell'Associazione medico-sportiva fiorentina,Federazione medico-sportiva italiana,"[43.7783592, 11.2341053]",Via del Fosso Macinante 13,NON SPECIFICATA,Specializzata,,False
5667,IT-FI0353,Biblioteca dell'Istituto universitario di scienze motorie - IUSM,Istituto universitario di scienze motorie - IUSM,"[43.7574857, 11.2672262]",Viuzzo di Gattaia 9,Universita' statali,Istituto di insegnamento superiore,,
5668,IT-FI0354,Biblioteca del CEDIP. Centro di documentazione internazionale parchi,Provincia di Firenze,"[43.789155, 11.227355]",Villa Demidoff,Provincia,Specializzata,,False
5669,IT-FI0355,Biblioteca comunale Pablo Neruda,Comune di Capraia e Limite,"[43.7424751, 10.9764181]",Piazza 8 Marzo 1944  9,Comune,Pubblica,,False
5670,IT-FI0356,Biblioteca comunale,Comune di Londa,"[43.862369, 11.5649402]",Via Roma 65,Comune,Pubblica,,False
5671,IT-FI0357,Biblioteca del Centro studi campaniani Enrico Consolini,Centro studi campaniani Enrico Consolini,"[44.075789, 11.612671]",Piazza Le Scalelle 5,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
5672,IT-FI0358,Biblioteca del Museo archeologico e della ceramica,Comune di Montelupo Fiorentino,"[43.7331403, 11.0218724]",Via XX Settembre 34,Comune,Specializzata,,False
5673,IT-FI0359,Biblioteca del Centro di documentazione Polimoda,ENT-ART. Polimoda. Istituto politecnico internazionale della moda,"[43.77141, 11.23523]",Via Pisana 77,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,,False
5674,IT-FI0360,Biblioteca dell'Istituto araldico Coccia,Istituto araldico Coccia,"[43.771064, 11.269969]",Borgo S. Croce 6,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,True
5675,IT-FI0361,Biblioteca della Misericordia di Firenze,Arciconfraternita della Misericordia,"[43.772536, 11.255564]",Piazza Duomo 20,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,,True
5676,IT-FI0362,Biblioteca Mediateca - Institut Français Firenze,Institut Français Firenze,"[43.7723303, 11.2453629]",Piazza Ognissanti 2,Istituzioni straniere,Specializzata,,False
5677,IT-FI0363,Biblioteca della Toscana Pietro Leopoldo,Regione Toscana,"[43.775812, 11.258017]","Piazza dell'Unità italiana, 1",Regione,Specializzata,True,False
5678,IT-FI0365,Biblioteca Luigi Crocetti,Regione Toscana,"[43.7808393, 11.2634569]","Piazza Brunelleschi, 4",Regione,Specializzata,True,False
5679,IT-FI0367,Centro di documentazione della Provincia di Firenze,Provincia di Firenze,"[43.7759357, 11.2566894]",Via Cavour 37,Provincia,Specializzata,,True
5680,IT-FI0368,Biblioteca del PICO. Punto informazione consulenza orientamento,Provincia di Firenze,"[43.7759357, 11.2566894]",Via Cavour 37,Provincia,Specializzata,,False
5681,IT-FI0369,Biblioteca del Dipartimento di ingegneria elettronica dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di ingegneria elettronica,"[43.8001581, 11.2578539]",,Universita' statali,Istituto di insegnamento superiore,,
5682,IT-FI0370,"Biblioteca del Dipartimento di matematica per le decisioni economiche, finanziarie, attuariali e sociali dell'Università degli studi di Firenze","Università degli studi di Firenze. Dipartimento di matematica per le decisioni economiche, finanziarie, attuariali e sociali","[43.7970943, 11.2424415]",Via C. Lombroso 16/17,Universita' statali,Istituto di insegnamento superiore,,
5683,IT-FI0372,Biblioteca del Dipartimento di ingegneria civile dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di ingegneria civile,"[43.8001581, 11.2578539]",,Universita' statali,Istituto di insegnamento superiore,,
5684,IT-FI0373,Biblioteca del Dipartimento di ingegneria agraria e forestale. Sezione di meccanica dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di ingegneria agraria e forestale. Sezione di meccanica,"[43.7829696, 11.2191985]",,Universita' statali,Istituto di insegnamento superiore,,
5685,IT-FI0374,Biblioteca del Dipartimento di fisiopatologia clinica dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di fisiologia clinica,"[43.8000174, 11.244246]",Viale G.B. Morgagni 85,Universita' statali,Istituto di insegnamento superiore,,
5686,IT-FI0376,Biblioteca dell'Istituto di medicina del lavoro della Facoltà di medicina e chirurgia dell'Università degli studi di Firenze,Università degli studi di Firenze. Facoltà di medicina e chirurgia,"[43.8028768, 11.2474969]",Largo Palagi 1,Universita' statali,Istituto di insegnamento superiore,,
5687,IT-FI0377,Biblioteca dell'Istituto di selvicoltura della Facoltà di agraria dell'Università degli studi di Firenze,Università degli studi di Firenze. Facoltà di agraria. Istituto di selvicoltura,"[43.7957715, 11.1777055]",Via S. Bonaventura 13,Universita' statali,Istituto di insegnamento superiore,,
5688,IT-FI0378,Biblioteca dell'Istituto di storia economica della Facoltà di economia e commercio dell'Università degli studi di Firenze,Università degli studi di Firenze. Facoltà di economia e commercio,"[43.773084, 11.243746]",Via Montebello 7,Universita' statali,Istituto di insegnamento superiore,,
5689,IT-FI0379,Biblioteca della Fondazione Ernesto Ragionieri,Fondazione Ernesto Ragionieri,"[43.8340787, 11.2003035]",Via A. Gramsci 282,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,True
5690,IT-FI0380,Biblioteca del Centro fiorentino di storia e filosofia della scienza,Centro fiorentino di storia e filosofia della scienza,"[43.7696879, 11.2808396]",Piazza Alberti 1A,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
5691,IT-FI0381,Biblioteca della Fondazione Herbert P. Horne,Fondazione Herbert P. Horne,"[43.767473, 11.259422]",Via dei Benci 6,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,True
5692,IT-FI0382,Biblioteca della Giunta regionale della Toscana,Regione Toscana,"[43.792678, 11.222356]","Via di Novoli, 26",Regione,Specializzata,,
5693,IT-FI0383,Biblioteca dell'Istituto per l'arte e il restauro,Istituto per l'arte e il restauro,"[43.772348, 11.2490478]",Via dei Fossi 12,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,,True
5694,IT-FI0384,Biblioteca del Centro studi musicali Ferruccio Busoni,Comune di Empoli,"[43.72005, 10.948292]",Piazza della Vittoria 16,Comune,Specializzata,,False
5695,IT-FI0398,Biblioteca della Società botanica italiana,Società Botanica Italiana,"[43.77863, 11.25994]",Via G. La Pira 4,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,,False
5696,IT-FI0400,Biblioteca della Fondazione Giovanni Michelucci,Fondazione Giovanni Michelucci,"[43.8072547, 11.3317605]",Via Beato Angelico 15,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,True
5697,IT-FI0404,Biblioteca emeroteca della Manetti & Roberts,Manetti & Roberts SpA,"[43.8481705, 11.1728403]",Via Baldanzese 177/186,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,,True
5698,IT-FI0405,Biblioteca del Teatro regionale toscano,Centro di documentazione sullo spettacolo e sul teatro,"[43.8274885, 11.1277659]",Villa Montalvo Rodriguez,"Accademie, associazioni, fondazioni, istituti (pubblici)",NON SPECIFICATA,,
5699,IT-FI0406,Biblioteca del Centro studi dell'Ars nova musicale italiana del Trecento,Centro studi dell'Ars nova musicale del Trecento,"[43.5488103, 11.0408004]",Via Borgo Garibaldi 33,"Accademie, associazioni, fondazioni, istituti (pubblici)",NON SPECIFICATA,,
5700,IT-FI0407,Piccola biblioteca d'arte,Domenicani. Convento S. Domenico di San Domenico di Fiesole,"[43.7996567, 11.2948507]",Via delle Fontanelle,Enti ecclesiastici,Specializzata,,False
5701,IT-FI0408,Biblioteca di Humour mon amour. Archivio dell'umorismo,Biblioteca di Humour mon amour. Archivio dell'umorismo,"[43.7851389, 11.3612905]",Via Calzolari 11,Privati - Famiglie,Specializzata,,False
5702,IT-FI0409,Biblioteca comunale del Consiglio di circoscrizione n. 9,Comune di Firenze,"[43.7986767, 11.2385014]",Via R. Giuliani 250,Comune,Pubblica,,
5703,IT-FI0410,Biblioteca Palagio di Parte Guelfa,Comune di Firenze,"[43.7697226, 11.253478]",Piazzetta di Parte Guelfa,Comune,Specializzata,,False
5704,IT-FI0412,Biblioteca della Ludoteca centrale,Comune di Firenze,"[43.776072, 11.260837]",Piazza SS. Annunziata 13,Comune,Pubblica,,False
5705,IT-FI0413,Biblioteca della Ludoteca Il castello dei balocchi,Comune di Firenze,"[43.8164595, 11.2289137]",Via del Pontormo 92,Comune,Pubblica,,False
5706,IT-FI0414,Biblioteca della Ludoteca La carrozza di Hans,Comune di Firenze,"[43.7789496, 11.2076183]",Via A. Modigliani 101,Comune,Pubblica,,False
5707,IT-FI0415,Biblioteca dell'ISTAT,Istituto nazionale di statistica,"[43.768551, 11.248592]",Via S. Spirito 14,Aziende ed amministrazioni dello stato ad ordinamento autonomo,Specializzata,,False
5708,IT-FI0416,Biblioteca dell'Istituto di elettronica quantistica. IEQ del CNR,Consiglio nazionale delle ricerche - CNR,"[43.80156, 11.23193]",Via Panciatichi 56/30,Aziende ed amministrazioni dello stato ad ordinamento autonomo,Specializzata,,True
5709,IT-FI0417,Biblioteca dell'Istituto nazionale di ottica,"Ministero dell'istruzione, dell'università e della ricerca","[43.7500914, 11.2489182]",Largo E. Fermi 6,Presidenza del consiglio dei ministri e ministeri,Specializzata,,False
5710,IT-FI0418,Biblioteca dell'Istituto superiore per le industrie artistiche,"Ministero dell'istruzione, dell'università e della ricerca","[43.7857399, 11.2871685]",Viale U. Bassi 29,Presidenza del consiglio dei ministri e ministeri,Specializzata,,True
5711,IT-FI0419,Biblioteca del Museo archeologico nazionale di Firenze. Polo museale della Toscana,Ministero dei beni e delle attività culturali e del turismo. Polo museale della Toscana,"[43.7755600319099, 11.2634341693115]",Via della Pergola 65,Direzione generale Musei,Specializzata,,True
5712,IT-FI0421,Biblioteca dell'Istituto papirologico Girolamo Vitelli,Istituto papirologico Girolamo Vitelli,"[43.7715279, 11.260497]",Borgo degli Albizi 12,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
5713,IT-FI0423,Biblioteca del Centro di documentazione della sezione didattica degli Uffizi,Ministero dei beni e delle attività culturali e del turismo. Gallerie degli Uffizi,"[43.7690519, 11.256184]",Via della Ninna 5,Direzione generale Musei,Specializzata,,True
5714,IT-FI0425,Biblioteca del Museo di Palazzo Davanzati,Ministero dei beni e delle attività culturali e del turismo. Museo nazionale del Bargello,"[43.7702119206081, 11.2548251588955]",Via Porta Rossa 13,Direzione generale Musei,Specializzata,,True
5715,IT-FI0426,Biblioteca del Museo nazionale del Bargello,Ministero dei beni e delle attività culturali e del turismo. Museo nazionale del Bargello,"[43.7703656312858, 11.2587085767212]",Via dell'Acqua 5,Direzione generale Musei,Specializzata,,True
5716,IT-FI0427,"Biblioteca ""Ugo Procacci""",Ministero dei beni e delle attività culturali e del turismo. Opificio delle pietre dure,"[43.7761175588101, 11.2587623644181]",Via degli Alfani 78,Direzione generale educazione e ricerca,Specializzata,,True
5717,IT-FI0428,Biblioteca della Galleria di arte moderna di Palazzo Pitti,Ministero dei beni e delle attività culturali e del turismo. Gallerie degli Uffizi,"[43.7654223665056, 11.2488514197128]",Piazza Pitti 1,Direzione generale Musei,Specializzata,,True
5718,IT-FI0431,Biblioteca degli Uffizi,Ministero dei beni e delle attività culturali e del turismo. Gallerie degli Uffizi,"[43.7690519, 11.256184]",Via della Ninna 5,Direzione generale Musei,Specializzata,,False
